,x,y,thickness,snr,mask,smb,surf_temp,base_temp,vx,vy,v,snr_pred,snr_pred_std
1970,1300500,1281000,2647.162,,2,56.095394,244.84193443298454,270.8712463378906,2.4220521,3.5174773,4.2707124,77.55979597906484,14.368820210295974
199,715500,1986000,516.47296,,3,365.7035,264.07848709840124,272.22021484375,200.4954,233.49161,307.76086,27.934426265613343,14.359847970365687
4417,-864500,751000,824.0626,,2,119.13338,261.78009017360597,268.24591064453125,-4.4321666,-7.222722,8.474185,47.99785160488346,14.283567735844613
739,240500,436000,2323.1948,,2,41.480236,243.59434383547696,268.9375,-5.4903383,3.9375496,6.7563386,70.63256693933661,14.47813117755756
6959,2050500,-664000,3469.5496,,2,142.47246,248.1020351299836,270.0680236816406,12.983867,-7.490753,14.989736,87.93924319954164,14.596520056294093
2433,1325500,-1034000,3127.5015,,2,36.336514,239.00010462039367,270.2198486328125,-0.9979528,-1.3631502,1.6894047,84.20734854072575,14.505924877302503
1813,-429500,1941000,109.55498,,3,-0.0015597332,265.16265850061603,271.26312255859375,-71.534,53.75545,89.48051,22.942505835734323,14.610473697631484
1733,1290500,466000,2476.2249,,2,66.18443,245.99957093057256,265.3360595703125,7.8959846,1.1201926,7.975049,68.89189598669691,14.714320947684968
5207,-809500,741000,807.15265,,2,122.057526,259.4893571523323,262.438232421875,-2.1331325,0.20158221,2.142636,41.77636557339162,14.542502110235347
6201,515500,126000,3332.0693,,2,29.702656,239.57861321652007,270.29925537109375,-1.423855,2.5374768,2.909665,87.11746456859333,14.646735877163165
6972,1550500,-1229000,3261.701,,2,79.91803,242.17187689397775,266.3025817871094,0.801582,-0.7566151,1.1022705,82.39163020473529,14.506352807575345
2245,1525500,-1959000,1149.7822,,2,450.85703,264.90169871504906,270.09228515625,-3.5989985,1.6145188,3.9445484,54.145401891202745,14.463111898361525
3363,1050500,-2089000,376.42422,,3,245.56929,264.9382377298184,271.427734375,0.34551495,-188.98631,188.98663,25.493076302066445,14.569195196410819
3643,1885500,-1084000,2972.7122,,2,185.47893,250.42698477102016,270.6619567871094,11.830908,-4.6041164,12.695207,81.69036459750622,14.512634848309048
4304,425500,-529000,2337.973,,2,16.05378,243.68902013857647,270.9817199707031,-2.7869735,-7.488241,7.990055,73.28435349527274,14.461919304909829
4556,-1559500,156000,2230.4688,,2,608.54803,257.3649076135261,271.2771301269531,-10.819049,15.796797,19.146557,69.43788778808285,14.491294224856096
2834,-1154500,-554000,2254.1768,,2,310.92944,255.1765922120403,271.4888916015625,11.465167,-16.097536,19.763117,71.04037647115666,14.349045946869536
6751,540500,876000,2827.1226,,2,29.72609,241.40269966781517,269.8853454589844,-0.3841034,1.166163,1.2277913,79.67144234979953,14.771239472311093
4172,1410500,-1729000,2477.877,,2,144.49568,249.02905780342326,265.0738830566406,-3.8359363,-3.341525,5.0872583,68.43777539096163,14.399740098129017
793,240500,666000,3291.9026,,2,34.600903,244.0818145473475,270.24237060546875,-3.5411963,3.1512318,4.7402883,86.66874223568513,14.347895907000668
8524,130500,-224000,2915.8757,,2,47.489494,240.7340047322685,270.59912109375,-1.2049469,-0.19225346,1.2201879,82.32493697995181,14.383551070246495
4955,950500,856000,3536.2393,,2,28.154335,237.23957437911054,270.1491394042969,2.0475764,-0.032182496,2.0478294,90.56863859548353,14.5381394139434
6680,1535500,-1269000,2825.4763,,2,82.704636,242.2267628292987,263.6921691894531,2.1450567,-1.2239817,2.4696963,72.53642625342052,14.639030147824943
2047,805500,-1104000,3231.5264,,2,32.170795,242.0525057906421,270.3665466308594,-7.505949,-0.3987079,7.516531,85.38146926460786,14.354974306453482
6820,1545500,531000,2287.7925,,2,88.38948,252.5632785243597,271.205078125,44.95827,45.840405,64.20739,71.7005806665738,14.39533199502013
7246,565500,901000,3159.0261,,2,30.816143,239.891826889734,270.35980224609375,-0.26410002,0.30337882,0.4022282,86.39143231026137,14.371032206711112
105,-1494500,-919000,538.1046,,2,1838.1943,266.1036929572618,269.0726318359375,-7.3004675,16.786358,18.305153,38.38555428149222,14.3926349476536
1669,1340500,1706000,724.66425,,2,368.394,263.4910759880831,272.1539001464844,42.13141,-3.793855,42.301876,49.164995520923874,14.477390148875381
5652,985500,-1129000,2660.0378,,2,26.943611,241.62007584042635,270.03094482421875,-4.178947,-1.5944757,4.472801,76.95065620161442,14.74157310844788
2505,1570500,-1954000,1277.165,85.78399999999999,2,305.80737,263.98977160915183,272.2493896484375,4.3200803,-1.3854356,4.5367966,59.1108004004058,14.703879726292133
5039,-44500,936000,2570.2217,,2,59.27016,248.66730607457288,270.704345703125,-12.017001,-2.5950341,12.2940035,76.12415857126388,14.269086577143375
5894,2005500,956000,630.09106,,2,210.23514,256.49648670741783,260.5953063964844,-0.6059478,-0.12439635,0.6185848,37.511295694180056,14.292858669096429
4603,935500,1616000,2093.2944,,2,121.50836,251.1099237292736,271.8023681640625,27.423271,80.55529,85.095184,68.3525531681252,14.631643882499073
993,-1249500,-839000,882.69226,,2,509.27225,254.3374334830143,265.57879638671875,0.022976026,8.247885,8.247916,44.00809933998776,14.328247340622353
